id;name;description
1;sky blue;Kenyan Shilling robust
2;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers
3;Analyst paradigms;encompassing
4;deposit Canadian Dollar Lebanon;Designer Persistent
5;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal
6;bypassing optical;installation
7;Argentine Peso;Kentucky Algerian Dinar Clothing
8;open-source turn-key;Sausages
9;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
10;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
